frequentflyer,ID,minutes,spend
1,1,32,277.33544943182
1,2,9,283.324786138697
0,3,22,212.587020803123
0,4,23,242.306452915466
0,5,4,280.366660385455
0,6,20,222.771208855115
0,7,1,233.285295375557
0,8,9,244.102441314554
1,9,10,236.148821237254
1,10,14,254.880389267893
0,11,10,251.497220284652
0,12,19,264.422510468502
0,13,7,221.436970406645
1,14,10,230.575828328247
0,15,11,232.238724545683
1,16,25,322.371225443721
1,17,4,277.360735677136
0,18,7,217.38225777768
1,19,27,270.297142163817
0,20,7,223.903437105368
0,21,4,222.481898361529
1,22,16,288.77169093894
0,23,19,218.388913758897
0,24,10,215.076001262978
0,25,9,259.209505690572
1,26,12,221.754891368279
1,27,18,245.861456125601
1,28,18,226.502657712876
0,29,17,221.08119087331
1,30,16,263.823071396723
0,31,14,239.652287263854
1,32,22,287.616354366671
0,33,19,197.041161823388
0,34,22,246.871701836815
0,35,18,262.219015581188
0,36,12,267.345815451115
1,37,12,283.248936128272
0,38,14,236.239755690523
0,39,8,252.675841433263
0,40,11,216.733269635054
0,41,9,221.45988582482
1,42,22,329.346963840605
0,43,11,247.735026336426
1,44,21,279.701454688546
1,45,18,268.507686667773
0,46,8,243.887654447744
1,47,8,261.468117722735
0,48,13,254.509818846417
1,49,14,235.145375658253
1,50,20,259.337453716671
1,51,8,285.99141601225
0,52,21,208.549700617026
1,53,14,221.481851414291
0,54,6,241.175842175686
1,55,17,242.783925312339
1,56,9,247.153630374347
0,57,9,220.484300477265
0,58,27,169.558116267401
0,59,14,245.435047556144
1,60,11,254.569616205711
1,61,13,288.037385026233
0,62,11,239.509790242489
0,63,4,221.659062424316
0,64,20,201.602613599107
1,65,17,268.761390196077
1,66,8,236.840435138168
1,67,12,284.328968172086
0,68,14,250.653133910948
0,69,20,227.509882362486
0,70,18,290.636345555643
1,71,13,270.068236756039
0,72,7,224.208384753711
1,73,16,250.942905127001
1,74,12,216.924669694719
1,75,12,278.648923088068
1,76,19,286.74783678216
1,77,19,269.859414039705
0,78,30,213.218778856202
0,79,15,238.774714456508
0,80,15,235.450960591838
0,81,6,227.882108005856
1,82,10,261.419826483969
0,83,11,233.849908515623
0,84,15,209.311064853062
0,85,5,252.012847660912
1,86,14,269.50409987248
0,87,6,287.566073838769
0,88,13,278.655773096765
1,89,20,270.701334845871
1,90,16,223.476393698022
0,91,6,195.6320335453
1,92,6,255.246236112523
1,93,16,238.596511344275
0,94,11,246.096549537497
1,95,15,288.041974518683
0,96,13,219.401630750537
1,97,22,294.28846588469
0,98,11,226.771056990253
0,99,11,259.635503638589
1,100,10,253.302957303307
0,101,21,181.458592145262
1,102,9,204.148988732782
0,103,13,238.663400328774
1,104,29,273.40044474153
1,105,18,277.655966141193
1,106,9,298.601240330776
0,107,10,222.810266620572
0,108,14,266.956226676151
1,109,19,278.027866102295
1,110,12,269.930745050417
0,111,14,248.633744780466
0,112,9,267.281844060655
0,113,5,263.329509959969
0,114,11,256.781507562156
0,115,7,241.078901112801
0,116,9,181.97249461467
0,117,18,248.625955356371
0,118,17,309.242155214596
0,119,14,250.184025337822
0,120,32,261.693290542653
0,121,11,169.712679973698
0,122,11,233.917886361446
1,123,12,279.717424519347
1,124,37,322.630510466393
1,125,10,264.378472395276
1,126,28,285.030283975281
0,127,9,266.533053522678
0,128,6,235.263742283891
1,129,9,269.297627250614
0,130,15,248.96572617488
0,131,17,271.82483221466
1,132,17,234.644160797216
1,133,10,262.662487199882
0,134,8,257.74932328345
0,135,7,237.114008109223
1,136,21,296.801450201825
0,137,5,227.863081096581
0,138,4,217.660523143392
0,139,38,242.858425047558
1,140,28,225.657657612099
0,141,12,210.052797110391
1,142,25,271.025510409209
1,143,18,291.432200326706
1,144,16,300.032035920091
0,145,6,234.239035248305
0,146,10,240.673734175431
0,147,10,224.922496718866
0,148,14,242.69213132946
0,149,19,264.572413134039
0,150,8,230.878378797928
0,151,24,213.753441846233
0,152,10,270.666470206999
0,153,5,249.77135842356
0,154,16,250.872573469897
1,155,31,263.847945448753
1,156,8,237.522914839244
0,157,3,259.685643755477
0,158,20,240.854822572827
0,159,28,257.767189326145
0,160,14,211.335725019558
0,161,7,205.825752263481
0,162,5,252.396641535763
1,163,9,243.007034686785
1,164,13,275.225827533748
0,165,10,229.274535003029
0,166,7,241.05122226719
0,167,5,290.624111058393
1,168,18,281.270248001099
1,169,11,262.610926281035
0,170,9,266.784433684194
0,171,6,169.750525394456
0,172,5,226.155943410675
1,173,26,305.98049582078
1,174,17,280.583426571815
0,175,18,180.330108192443
0,176,3,244.593399472127
0,177,9,190.186199636355
1,178,11,222.576661027285
0,179,26,245.116532244189
0,180,13,253.966950013376
0,181,9,231.647635234989
0,182,28,188.647782828483
1,183,9,255.69852831707
0,184,23,232.912958902364
0,185,14,218.168586549591
1,186,19,205.33813503699
0,187,19,227.308597349761
0,188,19,226.146288842673
0,189,12,238.329794645768
1,190,18,269.476042510871
0,191,14,205.708435507137
0,192,13,264.907412710927
1,193,6,233.393683898242
0,194,11,273.776323153707
1,195,12,303.015687494012
0,196,21,215.898661827367
0,197,6,260.964469672166
0,198,5,191.690604139301
0,199,19,209.43996757309
1,200,28,270.217573252988
0,201,19,259.098055369443
1,202,18,278.285033897258
1,203,12,256.057887364929
1,204,9,247.543738241912
0,205,2,258.795592995245
0,206,8,241.471829810872
0,207,14,261.535094148403
0,208,19,204.017630492747
0,209,12,252.696177971983
0,210,10,254.527720041833
1,211,15,295.83722443416
0,212,22,211.314270328105
0,213,4,253.980993475163
0,214,6,249.697560539613
1,215,19,298.814479983371
0,216,10,238.401692764226
0,217,30,187.525738291084
1,218,11,235.118423986524
1,219,5,301.347171508032
0,220,29,224.210441301873
0,221,20,227.37448692462
1,222,30,276.473910563446
0,223,10,261.908535397912
0,224,15,236.12235461861
0,225,7,325.225555277557
0,226,15,232.47534910514
1,227,15,259.222592687306
1,228,7,225.018958008892
0,229,6,236.401730523079
0,230,19,200.755698093976
0,231,15,237.946917517831
1,232,8,267.178757012472
1,233,21,264.209805762671
0,234,13,267.931617146356
0,235,2,279.185857567758
0,236,13,271.510659797677
0,237,7,266.31642543708
1,238,17,277.54936575691
0,239,8,228.020014936934
0,240,21,207.4784357391
0,241,20,231.698408633359
0,242,12,246.248077339849
0,243,14,261.731169590301
1,244,4,271.32256405134
0,245,14,231.634436104101
0,246,13,200.951693623798
1,247,29,269.469928899284
1,248,21,254.849936030564
1,249,17,286.414211319656
1,250,14,284.685148295967
0,251,37,218.375280802998
1,252,23,266.196888739407
1,253,27,272.362544368045
0,254,11,272.460609000345
1,255,15,299.137119956673
1,256,8,275.195217250551
1,257,12,258.495408084067
0,258,23,226.952842786072
0,259,13,238.826450892045
0,260,17,211.444014531546
0,261,9,248.001328223613
0,262,12,271.314877619848
0,263,19,214.23458354791
1,264,13,251.214461780718
0,265,21,274.821722304763
1,266,21,282.670279474772
0,267,10,227.498265535925
1,268,12,245.866018361925
0,269,14,252.671835772914
0,270,9,245.277451022141
1,271,39,295.078971594436
0,272,12,259.763942688108
1,273,14,285.684405747584
0,274,12,229.796552074852
0,275,12,206.792105073901
1,276,11,282.246395787366
1,277,11,276.197368802599
0,278,4,245.134284904932
1,279,19,248.475852205564
0,280,12,238.484928457979
0,281,11,242.19200390667
0,282,11,225.600149037954
0,283,15,223.512719057757
1,284,16,304.33117611169
0,285,23,222.428712051833
0,286,17,218.627488188732
0,287,6,221.436475959414
0,288,16,226.712390284709
1,289,21,258.252537118172
0,290,9,187.098706957042
1,291,17,271.619873204836
1,292,8,285.945292805054
1,293,36,299.651112267181
1,294,28,319.689201374414
1,295,12,261.822397869338
1,296,14,273.724600348754
0,297,10,246.111968989968
1,298,10,287.268305509796
1,299,9,285.222076053944
1,300,7,237.896828537809
0,301,23,220.416577054765
1,302,7,286.293674929598
1,303,16,274.779266151746
0,304,7,271.002429461144
0,305,30,212.256510671447
0,306,21,225.574741283766
0,307,27,204.371869008048
0,308,8,260.699825366341
1,309,17,272.232076055151
0,310,6,274.111544616321
1,311,4,280.204222372481
0,312,4,270.205456127178
0,313,19,221.516785597696
1,314,18,275.005247353929
0,315,29,214.43977710943
0,316,10,205.556166692144
1,317,40,316.292005126723
0,318,13,228.940477120813
1,319,18,229.450628523904
1,320,9,223.034136350962
0,321,9,198.521021396921
1,322,8,245.424525131201
1,323,10,293.77261315541
1,324,9,241.848227451788
1,325,12,202.849785681966
0,326,8,245.718402016843
0,327,14,217.667396370095
1,328,12,293.095263921616
1,329,15,242.905490995456
1,330,13,227.349882748905
1,331,35,307.660270158578
1,332,17,221.676381654185
0,333,37,176.814837671106
0,334,20,207.143017337973
1,335,9,301.613750428335
1,336,4,255.168828223141
0,337,11,267.904445070855
0,338,10,262.533572520613
0,339,3,234.565049217202
1,340,5,259.054517074713
1,341,1,249.51859931531
1,342,29,232.77442983182
0,343,5,289.21835856829
0,344,13,259.204794787199
0,345,16,260.000955482747
1,346,4,208.911064513188
0,347,10,224.140485250745
0,348,24,196.087530053981
0,349,8,203.833784392674
1,350,18,227.438276595009
0,351,16,196.240105587471
0,352,16,239.255523035113
0,353,9,256.287290066045
1,354,11,259.379077473053
0,355,10,260.204991031152
1,356,22,245.857630854402
0,357,14,222.495379752376
0,358,11,209.803223980409
0,359,10,227.757498169804
0,360,6,260.33832909043
0,361,6,232.933091077126
1,362,16,268.556063743364
1,363,26,279.055111441935
0,364,13,203.986355443645
0,365,7,274.66186433408
0,366,12,212.261710408937
0,367,15,235.035809651603
0,368,5,216.855276644969
0,369,19,228.713690588269
1,370,7,199.283267720227
0,371,15,245.436996870475
0,372,19,260.02196599879
1,373,19,283.592234425453
1,374,21,235.448976521908
0,375,16,246.250801315098
1,376,18,319.545783425139
1,377,15,258.090994088117
1,378,16,261.699464448527
0,379,14,249.787737194372
0,380,12,214.983370228863
0,381,21,264.073332116785
0,382,20,209.085219693306
0,383,26,198.26766267181
0,384,17,233.517876640967
0,385,6,273.054418552446
1,386,26,249.005361882967
0,387,6,271.698281621653
1,388,10,247.805030150972
0,389,34,174.720468284873
0,390,11,287.055472018971
1,391,11,270.222303062295
1,392,15,265.850589463574
1,393,20,234.371018172264
1,394,23,274.396451563786
0,395,21,207.201746132075
0,396,2,208.240274060351
1,397,21,288.676250158045
0,398,13,202.782336370592
1,399,13,260.103764475302
0,400,15,218.660504117473
1,401,18,285.861220187394
0,402,20,239.860999949685
1,403,26,243.117654856112
0,404,18,240.978446264892
0,405,5,213.344957003244
1,406,15,198.715056351273
1,407,18,272.896984573972
1,408,19,288.820969939848
1,409,39,305.283195463384
0,410,4,251.394949038422
0,411,14,233.850548721109
0,412,8,274.275489177845
0,413,20,211.924807018479
1,414,8,203.011009503333
0,415,11,222.091614471813
1,416,14,285.146439278855
0,417,10,238.642459387849
0,418,16,243.570931212038
0,419,11,283.397621539819
0,420,13,234.078459302453
0,421,8,227.304260779717
0,422,5,264.645913402493
0,423,24,256.552247115172
0,424,9,229.194189256514
1,425,11,249.813572256053
1,426,32,293.689774812887
1,427,14,235.63116543369
1,428,10,221.663554359094
1,429,29,258.289156953952
0,430,22,260.678214235553
0,431,32,253.07422473741
0,432,22,226.206414648268
0,433,7,238.199409026732
0,434,14,229.258548989078
0,435,11,269.06845874181
0,436,12,240.433176836817
1,437,15,304.443944403805
0,438,6,236.08178580995
1,439,8,286.592213109745
1,440,6,266.431320594263
0,441,9,248.272847720672
0,442,22,213.572409165863
1,443,20,245.761150845908
1,444,17,254.374704169277
0,445,34,243.079958718178
0,446,6,255.226979718145
0,447,21,199.387447575906
1,448,9,222.989015515842
1,449,19,265.852339377517
0,450,11,239.297860495904
1,451,8,273.828046753776
1,452,17,302.709556440344
0,453,11,255.998644792671
0,454,12,276.126447498523
0,455,17,268.677218522793
0,456,25,176.980392654583
1,457,24,266.031482354305
1,458,18,273.067896679845
0,459,31,264.898292654146
1,460,15,261.904112050317
1,461,24,229.235953608337
0,462,6,247.318235277336
1,463,8,259.400886334629
0,464,28,190.793111444703
0,465,12,206.57597492117
0,466,11,263.479898776831
1,467,14,266.16913666773
0,468,7,217.867365995242
1,469,1,292.266969694531
0,470,24,209.196918266301
0,471,10,221.408775984845
0,472,14,216.886065145817
1,473,11,290.547552373724
1,474,31,305.255919017112
0,475,11,245.29627248195
0,476,4,243.533914339555
0,477,15,151.633115911499
1,478,18,238.593310732811
0,479,5,224.046484351511
0,480,6,221.431192453862
0,481,12,233.58718606484
0,482,23,240.750112053132
0,483,17,216.132292815949
1,484,17,270.673528951856
0,485,28,254.621991228083
0,486,34,194.405938453671
1,487,19,292.708555460853
0,488,9,222.645395009507
0,489,15,207.840909904814
0,490,19,228.108392634086
0,491,3,276.333264347647
1,492,3,270.851920534299
1,493,20,256.485858085659
1,494,3,280.399416383738
0,495,15,263.496785877732
0,496,15,196.277904613983
1,497,9,233.537739685197
0,498,5,231.816755009434
0,499,5,268.78147947843
0,500,6,233.608741050885
