ID,Age,Gender,Member_Tenure,Avg_Visits_Per_Month,Class_Attendance,Used_PT_Sessions,Has_App,Signed_Up_PT
1,39,0,8,6.224531369884142,3,4,1,0
2,33,0,34,7.318017238056992,1,0,0,0
3,41,0,59,12.672170472948999,3,3,1,1
4,50,0,18,4.871907772450141,2,1,1,0
5,32,0,31,3.788319945799538,8,2,1,0
6,32,1,59,9.350956480342171,3,4,0,0
7,50,1,27,7.915947132998,1,5,0,0
8,42,1,16,11.621009716257644,2,6,1,1
9,30,0,58,6.941498282445927,3,5,1,1
10,40,0,10,11.632451777575994,1,2,1,0
11,30,0,40,8.048805793154836,1,2,1,0
12,30,1,12,9.587345325691162,4,0,1,0
13,37,1,22,12.871830461048805,2,7,0,0
14,15,1,16,7.498256285782482,4,2,0,0
15,17,0,12,11.13399870702622,4,4,1,0
16,29,1,11,6.159204284785976,1,2,0,0
17,24,0,20,8.682616861688723,3,3,1,0
18,38,1,51,3.6660224849501244,3,3,0,0
19,25,1,1,6.4870400930623076,1,2,1,0
20,20,1,27,4.825894223425566,3,3,1,1
21,49,1,3,11.662257809764213,2,1,1,0
22,32,0,12,13.216395082852607,5,1,1,0
23,35,1,30,6.935894167004178,5,0,0,0
24,20,1,9,5.680885452796728,6,2,0,0
25,29,0,53,4.05816650987009,3,0,1,0
26,36,0,54,8.7936241283062,2,0,0,0
27,23,0,37,6.193140935994768,1,1,1,0
28,38,0,1,6.353850975955197,2,2,0,0
29,28,0,42,12.888765852295805,1,2,1,0
30,32,1,49,7.110804045361454,3,3,1,0
31,28,0,4,9.759948711016008,4,1,0,0
32,53,0,15,8.158883269743837,4,2,1,0
33,34,1,51,3.9343837779786988,1,1,0,0
34,24,1,27,2.4653588814856837,1,2,1,0
35,43,1,8,9.462566176087034,5,2,0,0
36,22,0,23,13.112331562600412,3,3,1,0
37,37,1,15,8.944962606261502,0,0,1,0
38,15,1,27,9.872270549552407,8,2,1,0
39,21,0,31,5.285881083243559,2,1,1,0
40,36,0,39,11.044683026189027,5,2,1,1
41,42,1,47,11.007513364646115,3,2,1,0
42,36,1,8,5.911404583087464,2,2,0,0
43,33,1,30,9.636226321499382,7,2,1,0
44,31,1,58,2.700746447981098,0,0,1,0
